job_title,job_company,job_location,job_summary
Information Management Assistant,United Nations Pakistan,Pakistan,Assist in data cleaning and analysis by ensuring data consistency and provide statistical summary of the data.Perform other duties as they might be assigned.
Data Scientist,Teradata,Islamabad,Experience in data analysis is a plus.Strong hands-on data wrangling and number crunching skills to develop the right insights.
Data Analyst,"Aga Khan Health Service, Pakistan",Karachi,"B.Sc. degree (or equivalent level of professional experience) in science, maths, or another subject requiring regular handling of data."
Data Processing Associate,GfK,Karachi,"To suggest improvements in product data development.We connect data, science and innovative digital research solutions to provide answers for key business…"
Front Line Manager,PepsiCo,Multan,"Degree in either engineering or food science.Ensures all shift data is completed and entered M&W database for shift wise monitoring of efficiencies, materials…"
DATA ANALYST,Dignosco,Lahore,"Job Title Data Analyst Job Category Product Management.Department Counselling Job Code 0019/14.Salary Range: PKR 30,000 - 35,000 per month Position Type Full…"
Data Engineer,Sastaticket,Karachi,"You will use various methods to transform raw data into useful data systems.Technical expertise with data models, data mining, and segmentation techniques."
Business Intelligence Analyst,Bykea,Pakistan,Run experiments and develop dashboards and data visualizations for cross-functional data driven decision-making.Who we are looking for:
Data Analyst,Zones,Islamabad,Expertise to develop data models and automate the extraction and transformation of source data critical to understanding business value chain health.
Data Architect,HBL,Karachi,Design and build data models to fulfil the strategic data needs of the business.Provide input into data dictionaries.Primary Location: PK-SD-Karachi.
Program Officer– RESEARCH,Pakistan Centre for Philanthropy (PCP),Pakistan,"Ü Designing data collection instruments, and supervising data collection, tabulating and analysing data, and writing research reports for in-house research…"
Information Management Assistant,UN,Pakistan,Assist in data cleaning and analysis by ensuring data consistency and provide statistical summary of the data.Perform other duties as they might be assigned.
Sr Data Modeler,Teradata,Islamabad,This role is responsible for transforming business information into logical data models and managing the enterprise data model.
Regulatory Affairs Officer,Syngenta,Pakistan,Cooperate for layout/application & data capturing with the govt officials/Assistant data recorders.Ensure data should be presented in their annual research…
Data Analyst (Client Data Services),Afiniti,Karachi,Help Senior Account Data Manager with the explorations of new data sources and discoveries to build a roadmap of possible new data feeds.
"Digital, Data and IT Manager",Novo Nordisk,Karachi,"Business Partnering on digital, data and IT aspects and accountable within the subsidiary for the execution of the DDI project across the value chain and build…"
Social Science Research Assistant,Balochistan Council for Peace and Policy,Quetta,"Perform descriptive and multivariate statistical analyses of data, using computer software.Perform data entry and other clerical work as required for any…"
Business Analyst – WFH/Remote Work (2 Years Exp. Needed),Seeka Technology,Islamabad,"Our ideal candidate is someone who excels at analysing data and processes, determining areas of improvement or issues as well as the implementation of solutions…"
IT Assistant/Technician,Reach First,Rawalpindi,"Perform data backups and disaster recovery operation.Degree(s)/Major(s): Bachelor’s/Master's degree in computer science, Information Technology, or a similar…"
Reporting & Content Development Coordinator,United Nations Pakistan,Islamabad,Assist in overall reporting by collecting information from provincial responsible partners and data collating it in the form of reports on specific formats.
Consultancy: Gender-based discrimination assignment,United Nations Pakistan,Pakistan,Workplan and tools for primary data collection.5.4 Carry out primary data collection including interviews with the ILO’s tripartite stakeholders.
"Director, New Opportunities",NewGlobe Schools,Pakistan,The science of behaviour change and the science of learning is at the foundation of all programming.With a comprehensive system transformation platform and…
System Engineer,Ibex,Islamabad,"Bachelors or Masters in computer science or relevant field.Individual possesses intellectual curiosity, creativity, strong problem-solving skills, excellent…"
Senior Data Scientist,Bykea,Karachi,"3+ years of work experience in data science, data architecture, data modeling, technical solutions, business intelligence, engineering or other technical…"
Senior Data Analyst,IQVIA,Karachi,We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world.
Program Manager,HBL,Karachi,"Collect metrics data such as baseline, actual value of cost, schedule, work in progress and work completed to the stakeholders/management for project progress…"
Project Manager,Ibex,Islamabad,"Draft key objectives and results, strategies and apply the data for the product to make business decisions.Ibex. Is looking for a Project Manager who can act…"
Business Analyst,HBL,Karachi,"Conducts data gathering and analysis to understand business strategy requirements.Provides assistance in business case development (i.e., research, data…"
Software Engineer – Data,qordata,Karachi,"Gather and prepare data to support analytics from a variety of data source types including databases, flat files, external sources as per business requirements."
IT Officer (NCLS&C) Islamabad,NUST,Islamabad,"If something goes wrong, quickly fix it in order to keep business data flowing.Last Date: Sunday, July 24, 2022.Job Ref #: Job/4163/07/04/2022."
Mindshare | Assistant Media Planner,Mindshare,Lahore,Analyze data to provide client with recommendations for optimizations.Been up to speed with cutting edge proprietary planning tools as well as able to extract…
Associate Data Processing Engineer,GfK,Karachi,To suggest improvements in product data development.To produce quality product data as per daily targets.To remove errors in product data and get it QC passed…
AM FS Planning,Telenor,Islamabad,Knowledge of data sciences is a plus and will be preferred with display of data modelling.Analytical skills and the ability to derive meaningful decisions out…
Finance Associate,VisionX Technologies,Islamabad,"Maintain the highest level of confidentiality while working with sensitive data.We develop cutting-edge software products integrating computer vision, 3D…"
Data Engineer,Bentley Systems,Islamabad,The position involves cloud based operational development and maintenance of enterprise licensing data infrastructure and building scalable/ robust data systems…
Senior Data Engineer,Bykea,Pakistan,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.The ideal candidate is an experienced data pipeline builder and data…"
Associate I,PwC,Karachi,"Working as a member of CPT2 also provides the opportunity to directly help clients enhance or tune their preventative, and detective controls on a proactive…"
Quality Assurance Manager,Cargill,Lahore,"Drive Food Safety full quality data processing through the tools system integration cross location, and the governance in accordance with the local laws and…"
Data Analyst: GTS Analytics,Kyndryl Pakistan (Private) Limited,Islamabad,"Has deep understanding of the Industry or Domain area under discussion, is capable of developing the Use Cases for cognitive application independently and / or…"
Senior NOC Engineer // 1 Position,Zeta Technologies,Islamabad,Compilation of data on respective alarms prior escalating such alarms as per severities with the relevant teams.Respond to Customer’s requests and inquiries.
Safeguarding Assistant,Save the Children,Islamabad,"Updating Safeguarding tracker, database & Maintain the data archiving.Level 3: the post holder will have contact with children and/or young people either…"
Professor - NBS,NUST,Islamabad,15 years teaching/research experience (including 5 years mandatory teaching experience at university or a postgraduate institution) in HEC recognized university…
"Senior Consultant - Manager, Data analytics, Rapid Innovatio...",EY,Karachi,"This includes data models, storage requirements and migration of data from one system to another.This includes: Reviewing and assessing of complex data sets,…"
Junior Quality Associate,GfK,Karachi,"Supports in liaising with relevant coding divisions to identify gaps in data quality, areas of improvements and agrees on a timeline to improve the specific…"
Analytics and Insights Manager,Procter & Gamble,Karachi,"Bachelors or master’s degree at Maths, Statistics, Business Analytics, Computer Science, Engineering, Quantitative social sciences e.g., Economics."
Country Manager Pakistan IDEM,Abbott Laboratories,Karachi,"Analytical skills to digest and quickly grasp large amounts of data, and to recognize key issues and ideas.The Country Manager is responsible for the overall…"
Senior Software Engineer,Caramel Tech Studios,Lahore,"A solid foundation in computer science with strong competencies in data structure, algorithms and software design."
Lead Data Engineer - Big Data,Teradata,Islamabad,"Strong knowledge of data warehousing, data modeling and mapping techniques.This role is responsible for the development and implementation of big data & data…"
Customer Service Representative - Inbound - Urdu/English,Septem Systems,Lahore,The Floor Agent attracts potential customers by answering product and service related questions; suggesting information about other products and services our…
Software Engineer,Educative,Lahore,"Solid understanding of data structures and algorithms.BS, MS or Ph.D. in computer science.You like to work with fellow engineers and cross functional teams to…"
Desktop Engineer,Teradata,Islamabad,A bachelor’s degree in computer sciences or equivalent.Work with Voice and data suppliers plus internal Teradata teams to resolve any outages - may need…
